"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,      "Avg_c"     
           0,       0.183422228,      -2.476069694,      -2.006518049,      -13.55970077,       3.151640679,      -11.53574057,   5.048337791e-08,   2.603109345e-06,              4.04,              4.04,              4.04,       458.4520931
           1,       0.180068205,      -2.641194275,       -1.18650589,     -0.7294076332,       2.986547512,      -11.61803468,   5.215600189e-08,   2.629145674e-06,            4.0804,            4.0804,            4.0804,       458.4520931
           2,      0.1721127877,      -2.900447791,      -1.455208889,     -0.9879466641,        2.72728442,      -11.66825697,    5.28385314e-08,   2.655474636e-06,          4.121204,          4.121204,          4.121204,       458.4520931
           3,      0.1688570502,      -2.994502078,      -1.554412515,      -1.081282696,       2.633220408,      -11.68936699,   5.342354098e-08,   2.682165246e-06,        4.16241604,        4.16241604,        4.16241604,       458.4520931
           4,      0.1604758012,      -3.037530656,      -1.598480721,      -1.123855353,       2.590187874,      -11.69972837,   5.397766373e-08,   2.709325029e-06,         4.2040402,         4.2040402,         4.2040402,       458.4520931
           5,      0.1518044612,      -3.061570037,      -1.622304185,      -1.147268734,       2.566145952,      -11.70488063,   5.452445661e-08,   2.737071468e-06,       4.246080602,       4.246080602,       4.246080602,       458.4520931
           6,      0.1564139686,       -3.07519893,      -1.635012063,      -1.160282445,        2.55251511,      -11.70720504,   5.507217925e-08,   2.765487709e-06,       4.288541408,       4.288541408,       4.288541408,       458.4520931
           7,      0.1604082674,      -3.082617699,      -1.641203164,      -1.167482422,       2.545095048,      -11.70843806,   5.562374414e-08,   2.794585907e-06,       4.331426823,       4.331426823,       4.331426823,       458.4520931
           8,      0.1639516186,      -3.087096278,      -1.644119036,      -1.172262321,          2.540616,      -11.70999388,   5.618020158e-08,   2.824296508e-06,       4.374741091,       4.374741091,       4.374741091,       458.4520931
           9,      0.1655010874,      -3.091243643,       -1.64585752,      -1.176942514,       2.536468893,       -11.7126361,   5.674186531e-08,   2.854486699e-06,       4.418488502,       4.418488502,       4.418488502,       458.4520931
          10,      0.1621105608,      -3.096663652,      -1.647394405,      -1.182706186,       2.531049512,      -11.71653262,   5.730895921e-08,   2.884997135e-06,       4.462673387,       4.462673387,       4.462673387,       458.4520931
          11,      0.1590935608,       -3.10387816,       -1.64890528,      -1.189837469,       2.523835611,      -11.72132467,    5.78816736e-08,   2.915680388e-06,       4.507300121,       4.507300121,       4.507300121,       458.4520931
          12,      0.1678053219,      -3.112629456,      -1.650192298,      -1.198108994,       2.515084669,      -11.72660153,   5.846008539e-08,   2.946427934e-06,       4.552373122,       4.552373122,       4.552373122,       458.4520931
          13,      0.1673603988,       -3.12231819,      -1.651000655,         -1.207121,       2.505396003,      -11.73198558,   5.904428313e-08,   2.977180565e-06,       4.597896853,       4.597896853,       4.597896853,       458.4520931
          14,      0.1672267988,      -3.132341669,      -1.651165293,      -1.216512296,       2.495372379,      -11.73720058,   5.963435648e-08,   3.007924554e-06,       4.643875821,       4.643875821,       4.643875821,       458.4520931
          15,      0.1660855841,      -3.142245673,       -1.65063267,      -1.226053293,       2.485468108,      -11.74208676,     6.0230386e-08,   3.038679622e-06,        4.69031458,        4.69031458,        4.69031458,       458.4520931
          16,      0.1631034903,      -3.151727842,      -1.649425259,      -1.235663588,       2.475985612,      -11.74656598,   6.083243544e-08,    3.06948482e-06,       4.737217725,       4.737217725,       4.737217725,       458.4520931
          17,      0.1621878604,      -3.160578511,      -1.647597689,      -1.245393281,       2.467134588,      -11.75059268,   6.144054836e-08,   3.100386445e-06,       4.784589903,       4.784589903,       4.784589903,       458.4520931
          18,      0.1620001775,       -3.16862709,      -1.645204584,      -1.255390448,       2.459085636,      -11.75412418,   6.205474977e-08,   3.131429717e-06,       4.832435802,       4.832435802,       4.832435802,       458.4520931
          19,      0.1629570706,        -3.1757227,      -1.642284351,      -1.265862936,       2.451989647,      -11.75713952,   6.267505191e-08,   3.162654236e-06,        4.88076016,        4.88076016,        4.88076016,       458.4520931
          20,      0.1645206311,      -3.181747494,      -1.638855849,      -1.277037398,       2.445964479,      -11.75963199,   6.330146228e-08,   3.194092336e-06,       4.929567761,       4.929567761,       4.929567761,       458.4520931
          21,      0.1884399891,      -3.186645812,      -1.634923159,      -1.289118638,       2.441065811,      -11.76162052,   6.393399158e-08,   3.225769224e-06,       4.978863439,       4.978863439,       4.978863439,       458.4520931
          22,      0.1870028268,      -3.190449465,      -1.630484328,      -1.302254368,       2.437261855,      -11.76316253,   6.457265987e-08,   3.257703993e-06,       5.028652073,       5.028652073,       5.028652073,       458.4520931
          23,      0.1854480168,      -3.193284724,      -1.625540842,      -1.316510714,       2.434426358,      -11.76434213,   6.521749995e-08,   3.289910892e-06,       5.078938594,       5.078938594,       5.078938594,       458.4520931
          24,      0.1826276758,      -3.195356852,      -1.620105645,      -1.331861938,       2.432354074,      -11.76526547,   6.586855795e-08,   3.322400529e-06,        5.12972798,        5.12972798,        5.12972798,       458.4520931
          25,      0.1804836267,      -3.196917713,      -1.614208192,      -1.348194576,       2.430793147,      -11.76604328,   6.652589168e-08,   3.355180872e-06,        5.18102526,        5.18102526,        5.18102526,       458.4520931
          26,      0.1795554291,      -3.198227842,      -1.607896079,      -1.365323415,       2.429483046,      -11.76677905,   6.718956775e-08,   3.388258061e-06,       5.232835512,       5.232835512,       5.232835512,       458.4520931
          27,      0.1786755067,      -3.199523846,      -1.601233578,      -1.383015032,       2.428187164,      -11.76756594,   6.785965824e-08,    3.42163706e-06,       5.285163868,       5.285163868,       5.285163868,       458.4520931
          28,      0.1781653372,      -3.200997456,      -1.594297942,      -1.401013989,       2.426713773,      -11.76847302,   6.853623776e-08,   3.455322215e-06,       5.338015506,       5.338015506,       5.338015506,       458.4520931
          29,       0.177947118,      -3.202787284,      -1.587174512,      -1.419067333,        2.42492426,      -11.76954059,   6.921938123e-08,   3.489317769e-06,       5.391395661,       5.391395661,       5.391395661,       458.4520931
          30,      0.1775124309,      -3.204980706,      -1.579951659,      -1.436944157,       2.422731253,      -11.77079284,   6.990916257e-08,   3.523628353e-06,       5.445309618,       5.445309618,       5.445309618,       458.4520931
          31,       0.175917633,      -3.207621901,      -1.572716254,      -1.454448451,       2.420090577,      -11.77223863,   7.060565418e-08,   3.558259478e-06,       5.499762714,       5.499762714,       5.499762714,       458.4520931
          32,      0.1764201353,       -3.21072239,      -1.565550314,      -1.471424865,       2.416990719,      -11.77387575,   7.130892709e-08,   3.593218018e-06,       5.554760341,       5.554760341,       5.554760341,       458.4520931
          33,      0.1765472384,      -3.214271516,      -1.558528653,      -1.487757996,       2.413442336,      -11.77569087,    7.20190517e-08,   3.628512691e-06,       5.610307945,       5.610307945,       5.610307945,       458.4520931
          34,      0.1766530946,      -3.218245549,      -1.551717889,      -1.503366196,       2.409469158,      -11.77766939,   7.273609887e-08,   3.664154505e-06,       5.666411024,       5.666411024,       5.666411024,       458.4520931
          35,      0.1765191516,      -3.222615024,      -1.545175954,      -1.518191079,       2.405100643,      -11.77979551,    7.34601415e-08,   3.700157139e-06,       5.723075134,       5.723075134,       5.723075134,       458.4520931
          36,      0.1753366802,      -3.227350753,      -1.538951798,      -1.532183193,       2.400365969,      -11.78205652,   7.419125647e-08,   3.736537219e-06,       5.780305886,       5.780305886,       5.780305886,       458.4520931
          37,      0.1742567262,      -3.232429123,      -1.533085081,       -1.54528424,       2.395288732,      -11.78444678,   7.492952733e-08,   3.773314438e-06,       5.838108945,       5.838108945,       5.838108945,       458.4520931
          38,      0.1739683855,      -3.237837296,      -1.527605354,      -1.557406648,       2.389881748,      -11.78696902,   7.567504754e-08,   3.810511467e-06,       5.896490034,       5.896490034,       5.896490034,       458.4520931
          39,      0.1737233564,       -3.24357849,      -1.522530654,      -1.568412885,       2.384141771,      -11.78968891,   7.642792471e-08,   3.848153605e-06,       5.955454934,       5.955454934,       5.955454934,       458.4520931
          40,       0.173468399,      -3.249676937,      -1.517866013,      -1.578099399,       2.378044529,      -11.79277946,   7.718828564e-08,   3.886268157e-06,       6.015009484,       6.015009484,       6.015009484,       458.4520931
          41,      0.1756793035,       -3.25618155,      -1.513602276,      -1.586192714,       2.371541065,       -11.7963337,   7.795628218e-08,   3.924883513e-06,       6.075159579,       6.075159579,       6.075159579,       458.4520931
          42,      0.1770142157,      -3.263166917,      -1.509715868,      -1.592366614,       2.364556727,      -11.80008872,   7.873209756e-08,      3.964028e-06,       6.135911174,       6.135911174,       6.135911174,       458.4520931
          43,      0.1764847166,      -3.270730299,      -1.506170075,      -1.596286849,       2.356994178,       -11.8038993,   7.951595286e-08,   4.003728545e-06,       6.197270286,       6.197270286,       6.197270286,       458.4520931
          44,      0.1772446828,      -3.278983664,      -1.502918145,      -1.597681872,       2.348741344,      -11.80784875,   8.030811266e-08,   4.044009271e-06,       6.259242989,       6.259242989,       6.259242989,       458.4520931
          45,      0.1798883362,      -3.288040538,      -1.499908174,      -1.596425491,       2.339684582,      -11.81218841,   8.110888926e-08,   4.084890174e-06,       6.321835419,       6.321835419,       6.321835419,       458.4520931
          46,      0.1803687437,      -3.297998192,      -1.497089319,      -1.592606072,       2.329726481,      -11.81717659,   8.191864413e-08,   4.126386068e-06,       6.385053773,       6.385053773,       6.385053773,       458.4520931
          47,      0.1808191597,       -3.30891649,      -1.494418504,      -1.586555536,       2.318807036,      -11.82287054,    8.27377857e-08,   4.168505782e-06,       6.448904311,       6.448904311,       6.448904311,       458.4520931
          48,      0.1816676403,      -3.320795383,      -1.491866388,      -1.578824573,       2.306926167,      -11.82910831,   8.356611737e-08,   4.211251663e-06,       6.513393354,       6.513393354,       6.513393354,       458.4520931
          49,      0.1858065529,       -3.33355373,       -1.48942117,      -1.570111958,       2.294164925,       -11.8355157,   8.440407961e-08,   4.254619738e-06,       6.578527287,       6.578527287,       6.578527287,       458.4520931
          50,      0.1890706266,      -3.347012939,      -1.487089868,      -1.561172137,       2.280701883,      -11.84162033,   8.525259183e-08,   4.298600239e-06,        6.64431256,        6.64431256,        6.64431256,       458.4520931
          51,      0.1955159703,      -3.360889797,      -1.484895998,       -1.55272788,       2.266820336,      -11.84720462,   8.611141369e-08,   4.343178454e-06,       6.710755686,       6.710755686,       6.710755686,       458.4520931
          52,      0.2018233898,      -3.374803472,      -1.482874594,      -1.545405669,       2.252901329,      -11.85222543,   8.697809088e-08,   4.388335737e-06,       6.777863243,       6.777863243,       6.777863243,       458.4520931
          53,      0.2050248221,      -3.388301079,      -1.481064542,      -1.539699144,       2.239398098,       -11.8566379,   8.785612425e-08,   4.434050539e-06,       6.845641875,       6.845641875,       6.845641875,       458.4520931
          54,      0.2065042654,      -3.400903362,      -1.479500456,      -1.535957061,       2.226790367,      -11.86037169,   8.874594942e-08,   4.480299292e-06,       6.914098294,       6.914098294,       6.914098294,       458.4520931
          55,      0.2064494237,       -3.41216628,       -1.47820502,      -1.534388628,       2.215522699,       -11.8634375,   8.964793747e-08,   4.527057055e-06,       6.983239277,       6.983239277,       6.983239277,       458.4520931
          56,      0.2070706931,      -3.421746963,      -1.477183118,       -1.53507937,       2.205938447,      -11.86584063,   9.056236572e-08,   4.574297879e-06,        7.05307167,        7.05307167,        7.05307167,       458.4520931
          57,      0.2070837014,      -3.429457176,       -1.47641837,      -1.538012395,       2.198226187,      -11.86765849,   9.148939087e-08,   4.621994941e-06,       7.123602386,       7.123602386,       7.123602386,       458.4520931
