"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -7.576377194,      -8.433002448,      -8.795726863,                 0,       21.43855654,  -2.116233928e-09,      0.1199999779
          1,              0.01,      -7.774994897,      -8.642057725,      -9.039146967,                 0,      -1.779019503,  -0.0002217267081,      0.1199853789
          2,              0.02,      -7.764369377,      -8.646938891,      -9.150328733,                 0,      0.8803797535,  -0.0003498968912,      0.1198951985
          3,              0.03,      -7.813996616,      -8.646530978,      -9.135780603,                 0,       1.066594696,  -0.0002180059757,      0.1197597611
          4,              0.04,      -8.511734605,      -9.339200218,      -9.869664666,                 0,       1.233752058,  -0.0005821622516,      0.1196745699
          5,              0.05,      -8.054794613,      -8.908879994,      -9.426711948,                 0,       1.414670988,   0.0006434696029,      0.1196595315
          6,              0.06,      -8.220809047,      -9.057923218,      -9.590949491,                 0,       1.534969154,    0.002300449609,      0.1196704084
          7,              0.07,      -8.543649868,      -9.283788757,      -9.775884791,                 0,       1.528149541,    0.001416337463,      0.1196752962
          8,              0.08,      -8.571575802,      -9.330076174,      -9.861785971,                 0,       1.460785529,   -0.001225571609,      0.1196767001
          9,              0.09,      -8.713840925,      -9.481313199,      -10.00877956,                 0,       1.421233194,   -0.002454347321,       0.119688515
         10,               0.1,      -9.019537192,      -9.777081459,      -10.24994099,                 0,       1.433268837,   -0.001293122746,      0.1197145824
