"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -6.162141216,      -16.26707445,      -16.33672031,      -0.699617172
          0,           0,           1,      -6.568729783,      -3.499104341,      -3.883288177,       -1.12738247
          0,           0,           2,      -6.529854392,      -4.188442043,      -4.364462429,      -1.063886153
          0,           0,           3,      -6.732786552,       -4.21029849,      -4.376254116,      -1.298165411
          0,           0,           4,      -7.077968179,      -4.381634793,      -4.618897293,      -1.635128518
          0,           0,           5,      -7.371087787,      -4.400875692,      -4.673502086,      -1.916959709
          0,           0,           6,       -7.50915415,      -4.422136403,      -4.721491802,        -2.0522766
          0,           0,           7,      -7.488187383,      -4.536204247,        -4.8326673,      -2.026137176
          0,           0,           8,      -7.682413713,      -4.569186146,       -4.87637423,      -2.213830189
          0,           0,           9,       -7.77505551,      -4.609915803,      -4.919721426,      -2.302906637
          0,           0,          10,      -7.682987918,      -4.716030328,      -5.038062039,      -2.213859021
          0,           0,          11,      -7.887666658,      -4.745416861,        -5.0692067,      -2.408265583
          0,           0,          12,      -7.964503057,      -4.773915011,      -5.095778765,       -2.48185423
          0,           0,          13,      -7.836436981,      -4.877224591,      -5.208949537,      -2.365899513
          0,           0,          14,      -8.052973035,      -4.892486054,      -5.218752059,       -2.56995375
          0,           0,          15,      -8.115692167,       -4.91097651,      -5.231684799,      -2.630948767
          0,           0,          16,      -7.986179051,      -5.011264864,      -5.340127817,      -2.515365908
          0,           0,          17,      -8.199390548,      -5.018799236,      -5.339721366,       -2.71474421
          0,           0,          18,      -8.247805953,      -5.037060598,      -5.350574602,      -2.763125724
          0,           0,          19,      -8.144844348,      -5.134911373,      -5.461723872,      -2.672525613
          0,           0,          20,       -8.34001846,      -5.144688122,      -5.461041889,      -2.853397677
          0,           0,          21,      -8.378428903,      -5.170818705,      -5.477949816,      -2.894080487
          0,           0,          22,      -8.321884938,      -5.267192083,      -5.594238904,      -2.846618755
          0,           0,          23,      -8.484234058,      -5.285868657,      -5.600875794,      -2.996467077
