"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.314090191,      -15.05558391,      -15.81664604,      -9.278435013
          0,           0,           1,      -4.689296364,      -4.149091208,      -4.192512912,      -9.698079064
          0,           0,           2,      -4.850404437,      -4.577733776,      -4.338606986,      -10.30594528
          0,           0,           3,      -5.148863238,      -4.687611661,      -4.328398366,      -10.86786258
          0,           0,           4,      -5.228861667,       -4.82639678,      -4.489805496,      -11.00970248
          0,           0,           5,      -5.291571121,      -4.882603843,      -4.496556286,      -11.09987854
          0,           0,           6,      -5.321107028,       -4.92567781,      -4.503808039,      -11.16131179
          0,           0,           7,      -5.322641266,      -4.952870845,      -4.514177341,      -11.20871813
          0,           0,           8,      -5.311189704,      -4.959194643,      -4.519169766,       -11.2459179
          0,           0,           9,       -5.29250018,      -4.944807422,      -4.516822808,      -11.27531216
          0,           0,          10,      -5.270077648,      -4.912245752,      -4.507192467,      -11.29747728
          0,           0,          11,      -5.246043357,      -4.867592009,      -4.492629832,      -11.31377899
          0,           0,          12,      -5.222189491,      -4.817751869,      -4.476134347,      -11.32576174
          0,           0,          13,      -5.200061948,      -4.767728336,      -4.460057112,      -11.33435789
          0,           0,          14,      -5.180437784,      -4.720719352,      -4.445877081,      -11.34068216
          0,           0,          15,      -5.163415381,      -4.678265059,      -4.434224208,      -11.34503829
          0,           0,          16,      -5.148682157,      -4.640683652,      -4.425050283,      -11.34784381
          0,           0,          17,       -5.13571372,      -4.607642602,      -4.417911539,      -11.34918867
          0,           0,          18,      -5.123763745,       -4.57878726,      -4.412317928,      -11.34883679
          0,           0,          19,      -5.112258236,      -4.553513617,      -4.407754123,      -11.34664635
          0,           0,          20,      -5.100745833,      -4.531366027,       -4.40383004,        -11.342866
          0,           0,          21,      -5.088975813,      -4.511930197,      -4.400279355,      -11.33753889
          0,           0,          22,      -5.076903876,      -4.494812436,      -4.396932139,      -11.33057148
          0,           0,          23,      -5.064565616,      -4.479690726,      -4.393715956,      -11.32217292
          0,           0,          24,      -5.052009721,      -4.466282883,      -4.390634055,      -11.31265429
          0,           0,          25,      -5.039294257,      -4.454317561,      -4.387725158,      -11.30174599
          0,           0,          26,      -5.026289901,      -4.443651309,      -4.385111478,      -11.28967938
          0,           0,          27,      -5.013031699,      -4.434056357,       -4.38285653,      -11.27656228
          0,           0,          28,      -4.999405604,       -4.42541709,      -4.381050365,      -11.26250359
          0,           0,          29,      -4.985326443,      -4.417637234,      -4.379763568,      -11.24768884
          0,           0,          30,      -4.970881509,      -4.410591073,      -4.378978213,      -11.23236476
          0,           0,          31,      -4.956131346,      -4.404186689,      -4.378644093,      -11.21675353
          0,           0,          32,      -4.941158979,      -4.398356004,      -4.378685566,      -11.20105863
          0,           0,          33,      -4.926140494,      -4.393023993,      -4.378974828,      -11.18542533
          0,           0,          34,      -4.911253842,      -4.388107936,      -4.379355817,      -11.16991737
          0,           0,          35,      -4.896623267,      -4.383524808,        -4.3796835,      -11.15453698
          0,           0,          36,      -4.882336205,       -4.37918409,      -4.379836488,      -11.13924173
          0,           0,          37,      -4.868451247,      -4.374975213,      -4.379718722,      -11.12396514
          0,           0,          38,      -4.855004054,      -4.370764839,      -4.379260661,      -11.10863323
          0,           0,          39,      -4.842011297,       -4.36640576,      -4.378421441,      -11.09316599
          0,           0,          40,      -4.829477794,       -4.36175457,      -4.377189111,      -11.07748728
          0,           0,          41,      -4.817402739,      -4.356692419,      -4.375578574,      -11.06157503
          0,           0,          42,      -4.805820866,      -4.351135781,      -4.373603601,      -11.04538647
          0,           0,          43,      -4.794738174,      -4.345051051,      -4.371302813,      -11.02891447
          0,           0,          44,      -4.784182464,      -4.338459593,      -4.368709564,      -11.01213262
          0,           0,          45,      -4.774148204,      -4.331431875,      -4.365871919,      -10.99504609
          0,           0,          46,      -4.764624121,      -4.324074263,      -4.362832751,      -10.97770278
          0,           0,          47,      -4.755621773,      -4.316494994,      -4.359597995,      -10.96021919
          0,           0,          48,      -4.747207562,      -4.308768842,       -4.35610154,      -10.94266068
          0,           0,          49,      -4.739404147,      -4.300954522,      -4.352280988,      -10.92502714
          0,           0,          50,      -4.732157796,      -4.293118058,      -4.348127413,      -10.90731518
          0,           0,          51,      -4.725376399,      -4.285324273,      -4.343668828,      -10.88956142
          0,           0,          52,      -4.718976428,      -4.277616057,      -4.338931053,      -10.87185632
          0,           0,          53,      -4.712869705,      -4.270020923,      -4.333953538,      -10.85412109
          0,           0,          54,      -4.706974275,       -4.26255385,      -4.328781083,      -10.83630524
          0,           0,          55,       -4.70122197,      -4.255219551,      -4.323456067,      -10.81841401
          0,           0,          56,      -4.695560721,      -4.248015773,      -4.318014486,       -10.8004209
          0,           0,          57,      -4.689953486,      -4.240936777,      -4.312484334,      -10.78233664
          0,           0,          58,      -4.684375336,      -4.233976212,      -4.306885788,      -10.76418108
          0,           0,          59,      -4.678809939,      -4.227128875,      -4.301232485,      -10.74595959
          0,           0,          60,      -4.673247679,      -4.220390487,      -4.295532068,      -10.72770855
          0,           0,          61,      -4.667683368,      -4.213757518,      -4.289787487,      -10.70944006
          0,           0,          62,      -4.662112399,      -4.207228904,      -4.284003954,      -10.69126309
          0,           0,          63,      -4.656613683,      -4.200766456,        -4.2780989,      -10.67333408
          0,           0,          64,      -4.651354533,      -4.194287701,      -4.271904219,      -10.65570033
          0,           0,          65,      -4.646442724,      -4.187730412,      -4.265325641,      -10.63839143
          0,           0,          66,      -4.641932034,      -4.181052987,      -4.258317886,      -10.62143437
          0,           0,          67,      -4.637829135,      -4.174236567,      -4.250884137,      -10.60482694
          0,           0,          68,      -4.634104122,      -4.167281282,      -4.243066803,      -10.58853426
          0,           0,          69,      -4.630701091,      -4.160201831,      -4.234936531,      -10.57255488
          0,           0,          70,      -4.627550022,      -4.153021806,      -4.226578292,      -10.55688053
