"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.441377739,      -2.403765466,      -3.163758932,      0.0260037474,      -1.606447354,        3.19985489
          1,           0,           9,             0.003,      -6.247188415,      -2.706889736,      -3.790206698,     -0.7877089788,      -1.653335569,       2.946256716
          2,           0,           9,             0.006,      -6.840130139,      -2.892966042,      -3.962374317,      -1.399032546,      -1.791279462,       2.546028726
          3,           0,           9,             0.009,      -7.039220084,      -3.032105048,       -4.00062077,      -1.613179201,      -1.939353197,       2.198462809
          4,           0,           9,             0.012,       -7.08667696,      -3.144587281,      -4.022447801,      -1.658139322,      -2.073654733,       1.992075931
          5,           0,           9,             0.015,      -7.107437265,       -3.23574736,       -4.03489961,      -1.673680887,      -2.189771505,       1.851464382
          6,           0,           9,             0.018,      -7.118871723,      -3.310729467,      -4.041710503,      -1.681865064,       -2.29003137,       1.730552803
          7,           0,           9,             0.021,      -7.126998788,      -3.373035688,      -4.045308992,      -1.688562677,      -2.377877709,       1.622972906
          8,           0,           9,             0.024,      -7.134911179,      -3.425905202,      -4.047755707,      -1.696690095,      -2.456141276,       1.528624008
          9,           0,           9,             0.027,      -7.143241504,      -3.471186057,      -4.050306852,      -1.706920644,      -2.526860748,       1.446053924
