"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.578805454,      -12.34826773,      -12.57310205,       1.893791753,      -7.931608495
          0,           0,           1,      -3.711680083,      -1.252824191,       -1.40731239,       1.760450457,       -7.89753297
          0,           0,           2,      -3.904097526,      -1.484867994,      -1.567866053,       1.567231185,      -7.953864477
          0,           0,           3,      -3.968960593,      -1.519373374,      -1.635490575,       1.502505793,      -7.995494662
          0,           0,           4,      -4.013262751,      -1.532642379,      -1.648666602,        1.45870458,      -8.032133304
          0,           0,           5,      -4.036219937,       -1.53552329,       -1.64008125,       1.436007604,      -8.064333104
          0,           0,           6,      -4.046693397,      -1.530279856,      -1.625330413,       1.425530261,      -8.092272853
          0,           0,           7,      -4.048574988,      -1.522310432,      -1.608877193,       1.423487889,       -8.11673287
          0,           0,           8,      -4.046610446,      -1.513569942,      -1.592297045,       1.425080918,      -8.138411009
          0,           0,           9,      -4.042228718,      -1.505296785,      -1.576557069,       1.428912879,       -8.15765759
          0,           0,          10,      -4.036431768,       -1.49845526,      -1.562387525,       1.434034788,      -8.174575252
          0,           0,          11,      -4.029920881,      -1.493537601,      -1.550406622,       1.439797638,      -8.189793589
          0,           0,          12,      -4.023130097,      -1.490710214,      -1.540850339,       1.445824221,      -8.203494651
          0,           0,          13,      -4.016338379,      -1.489858788,      -1.533988008,       1.451876364,      -8.215893491
          0,           0,          14,      -4.009504079,      -1.490737679,       -1.52976927,        1.45804028,      -8.227446841
          0,           0,          15,       -4.00248197,      -1.492828097,      -1.528138157,       1.464508147,      -8.238027859
          0,           0,          16,      -3.995195728,      -1.495509425,      -1.528568843,       1.471385384,      -8.247520336
          0,           0,          17,      -3.987741867,      -1.498083602,      -1.530308825,       1.478579015,      -8.255986399
          0,           0,          18,      -3.980497562,      -1.500106077,      -1.532526735,       1.485682035,      -8.264056038
          0,           0,          19,      -3.973702489,      -1.501346089,      -1.534373245,       1.492396908,      -8.271617681
          0,           0,          20,      -3.967316048,      -1.501527334,      -1.535207189,       1.498720776,      -8.278420062
          0,           0,          21,      -3.961082447,      -1.500683405,      -1.534773968,       1.504883366,      -8.290624367
          0,           0,          22,      -3.955247538,      -1.499233371,      -1.533091725,       1.510606612,      -8.312524362
          0,           0,          23,       -3.94978325,      -1.497213422,      -1.530362366,       1.515922228,      -8.322546339
          0,           0,          24,      -3.944311683,      -1.494644489,      -1.526848892,       1.521221256,      -8.325869858
          0,           0,          25,      -3.938772432,      -1.491652437,      -1.522744309,       1.526572681,      -8.327149881
          0,           0,          26,      -3.933404196,      -1.488314006,      -1.518193767,       1.531748269,       -8.32762273
          0,           0,          27,      -3.928006051,       -1.48451955,      -1.513317917,       1.536958148,      -8.327794313
          0,           0,          28,      -3.922436232,      -1.480312248,      -1.508227699,       1.542340739,      -8.327778699
          0,           0,          29,      -3.916993066,      -1.475798686,      -1.502975586,       1.547597496,      -8.327533385
          0,           0,          30,       -3.91172188,      -1.470896533,      -1.497628581,       1.552687095,      -8.327230116
          0,           0,          31,      -3.906403376,       -1.46554587,      -1.492248067,       1.557817106,      -8.326781857
          0,           0,          32,      -3.901198333,      -1.459895809,      -1.486869143,       1.562826198,      -8.326212108
          0,           0,          33,      -3.896316506,      -1.453835184,      -1.481511445,       1.567511375,      -8.325555321
          0,           0,          34,       -3.89159269,      -1.447367555,      -1.476243894,       1.572023405,      -8.324873551
          0,           0,          35,      -3.886968142,      -1.440649058,      -1.471096207,        1.57642181,      -8.324138259
          0,           0,          36,      -3.882684732,      -1.433636033,      -1.466094099,       1.580468426,       -8.32331136
          0,           0,          37,       -3.87859819,      -1.426451588,       -1.46131707,       1.584309016,      -8.322252726
          0,           0,          38,      -3.874436285,      -1.419357895,      -1.456799367,       1.588211893,      -8.320956408
          0,           0,          39,      -3.870387219,      -1.412383518,      -1.452556896,       1.592000343,      -8.319425858
          0,           0,          40,      -3.866282439,      -1.405642051,      -1.448616975,       1.595854127,      -8.317427183
          0,           0,          41,      -3.861792879,       -1.39944869,      -1.444995165,       1.600099456,      -8.314948391
          0,           0,          42,      -3.857055878,      -1.393868191,      -1.441649488,        1.60461634,      -8.311996134
          0,           0,          43,      -3.851986445,       -1.38890576,      -1.438549295,       1.609500072,      -8.308361485
          0,           0,          44,       -3.84636488,      -1.384783924,      -1.435670066,       1.614970013,      -8.304180524
          0,           0,          45,      -3.840344054,      -1.381505035,      -1.432893985,       1.620881129,       -8.29960009
          0,           0,          46,       -3.83403594,      -1.378862115,      -1.430158838,       1.627126928,      -8.294461331
          0,           0,          47,      -3.827283836,      -1.377008793,      -1.427397529,       1.633854871,      -8.289015551
          0,           0,          48,      -3.820352066,       -1.37578391,      -1.424525387,       1.640796781,      -8.283196572
          0,           0,          49,      -3.813378585,      -1.374904533,       -1.42147239,       1.647813654,      -8.277239294
          0,           0,          50,      -3.806253488,      -1.374433027,      -1.418209495,       1.655002376,      -8.271192795
          0,           0,          51,      -3.799250797,      -1.374146825,      -1.414679465,       1.662083288,      -8.265096448
          0,           0,          52,      -3.792427034,      -1.373720132,      -1.410903792,       1.668996267,      -8.259111399
          0,           0,          53,      -3.785696556,      -1.373236523,      -1.406914792,       1.675813159,      -8.253214062
          0,           0,          54,      -3.779246179,      -1.372426503,      -1.402684304,       1.682343936,      -8.247499197
          0,           0,          55,      -3.773099296,      -1.370989138,      -1.398273129,       1.688563073,      -8.241996952
          0,           0,          56,      -3.767155638,       -1.36913091,      -1.393742397,       1.694560829,      -8.236750422
          0,           0,          57,      -3.761514396,      -1.366553858,       -1.38905518,       1.700238614,      -8.231776822
          0,           0,          58,      -3.756242224,      -1.363141511,       -1.38428735,       1.705535704,      -8.227116789
          0,           0,          59,      -3.751118917,      -1.359192211,      -1.379433483,       1.710659288,      -8.222827709
          0,           0,          60,       -3.74633065,      -1.354448099,       -1.37438858,       1.715433848,      -8.218835253
          0,           0,          61,      -3.741856726,      -1.349015362,      -1.369258812,       1.719886492,      -8.215104055
          0,           0,          62,      -3.737455633,      -1.343282878,      -1.363913871,       1.724247423,      -8.211633867
          0,           0,          63,      -3.733408322,      -1.336948499,      -1.358354432,       1.728256451,      -8.208402008
          0,           0,          64,      -3.729438045,      -1.330401502,      -1.352537458,       1.732187715,      -8.205396111
          0,           0,          65,      -3.725584523,      -1.323791947,      -1.346405277,       1.736001265,      -8.202492524
          0,           0,          66,      -3.721962928,      -1.317033735,      -1.339968095,       1.739597606,      -8.199634394
          0,           0,          67,      -3.718261821,      -1.310449273,       -1.33316221,       1.743274742,      -8.196735981
