"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,      "Avg_c"     ,       "CD"       ,       "CL"       
          0,           0,           0,      -1.028695796,       1.235986571,       1.748422209,       4.434101003,      0.7155133521,       4.671597811,       340.2970288,                 0,                 0
          0,           0,           1,      -1.143338069,       1.209989276,        1.71474301,       4.317743774,      0.7366700862,       4.675409082,       340.2970288,                 0,                 0
          0,           0,           2,     -0.9404765501,        1.18937195,       1.681255077,       4.531123045,      0.8447774749,       4.732988273,       340.2970288,                 0,                 0
          0,           0,           3,     -0.7043440777,       1.213788031,       1.657825179,       4.788858857,       1.017490306,       4.831108072,       340.2970288,                 0,                 0
          0,           0,           4,     -0.5624336978,       1.277327477,       1.636998832,        4.95370989,       1.185799265,       4.928042934,       340.2970288,                 0,                 0
          0,           0,           5,     -0.4769795662,       1.352525027,       1.596323695,       5.064047904,       1.271908857,       4.953878993,       340.2970288,                 0,                 0
          0,           0,           6,     -0.4482508186,       1.407827104,       1.494468948,       5.117842812,       1.218194558,       4.822307551,       340.2970288,                 0,                 0
          0,           0,           7,     -0.5075259429,       1.412907673,        1.28973909,       5.078333497,      0.8252441719,       4.483485701,       340.2970288,                 0,                 0
          0,           0,           8,     -0.7505287288,       1.296139301,        1.08891371,       4.818049819,       0.891130526,       4.837772662,       340.2970288,                 0,                 0
          0,           0,           9,      -1.069297071,       1.080346948,      0.9816902509,       4.375651016,      0.9847878593,       4.859493359,       340.2970288,                 0,                 0
          0,           0,          10,      -1.035735812,      0.8674100448,      0.8001923148,       4.517500886,      0.7631233548,       4.658364687,       340.2970288,                 0,                 0
          0,           0,          11,      -1.085294586,      0.8230799531,      0.6511021958,       4.462997258,      0.1711999736,       4.301326468,       340.2970288,                 0,                 0
          0,           0,          12,      -1.338262239,      0.7447967193,      0.5915403255,       4.176969787,      0.3995357937,       3.944002862,       340.2970288,                 0,                 0
          0,           0,          13,      -1.602488879,        0.69354213,      0.4637602999,         3.8600305,      0.6131368446,       3.731583505,       340.2970288,                 0,                 0
          0,           0,          14,      -1.738996662,      0.6101855018,      0.3274740032,         3.6954849,      0.7508049854,       3.602501543,       340.2970288,                 0,                 0
          0,           0,          15,      -1.845215501,      0.5180973413,      0.2259460794,       3.576872085,      0.8583537097,       3.502083764,       340.2970288,                 0,                 0
          0,           0,          16,      -1.950050989,      0.4358766009,      0.1590621242,       3.463625798,      0.9496191158,       3.433635928,       340.2970288,                 0,                 0
          0,           0,          17,      -2.041420984,      0.3630976837,      0.1252899063,       3.372248407,       1.035011215,       3.393596007,       340.2970288,                 0,                 0
          0,           0,          18,      -2.095394816,      0.2980641754,        0.11384131,       3.320656749,       1.120908046,       3.352550711,       340.2970288,                 0,                 0
          0,           0,          19,       -2.11015965,      0.2456460523,      0.1055574295,        3.29542553,       1.208713945,       3.291036748,       340.2970288,                 0,                 0
          0,           0,          20,      -2.111460038,      0.2020448658,      0.0943226118,       3.278456559,       1.296138754,         3.2151654,       340.2970288,                 0,                 0
          0,           0,          21,      -2.120368581,      0.1527550531,     0.08511103349,       3.262059072,       1.379169066,        3.14491825,       340.2970288,                 0,                 0
